Hour,Measure Names,Measure Values
0,Library Parking,3.690909091
1,Library Parking,3.696428571
2,Library Parking,3.696428571
3,Library Parking,3.696428571
4,Library Parking,3.696428571
5,Library Parking,3.696428571
6,Library Parking,19.25
7,Library Parking,32.892857143
8,Library Parking,68.267857143
9,Library Parking,77.732142857
10,Library Parking,87.357142857
11,Library Parking,89.125
12,Library Parking,90.714285714
13,Library Parking,90.714285714
14,Library Parking,90.714285714
15,Library Parking,89.214285714
16,Library Parking,86
17,Library Parking,79.910714286
18,Library Parking,71.821428571
19,Library Parking,60.375
20,Library Parking,52.928571429
21,Library Parking,40.642857143
22,Library Parking,13.589285714
23,Library Parking,4.732142857
0,Invent Parking,1.686956522
1,Invent Parking,1.739495798
2,Invent Parking,1.728813559
3,Invent Parking,1.728813559
4,Invent Parking,1.855932203
5,Invent Parking,3.076271186
6,Invent Parking,13.754237288
7,Invent Parking,29.610169492
8,Invent Parking,52.711864407
9,Invent Parking,69.169491525
10,Invent Parking,77.118644068
11,Invent Parking,80.152542373
12,Invent Parking,80.313559322
13,Invent Parking,79.449152542
14,Invent Parking,78.203389831
15,Invent Parking,75.779661017
16,Invent Parking,71.898305085
17,Invent Parking,64.169491525
18,Invent Parking,52.101694915
19,Invent Parking,34.686440678
20,Invent Parking,21.550847458
21,Invent Parking,11.5
22,Invent Parking,3.898305085
23,Invent Parking,1.720338983
0,Creche Parking,4.956521739
1,Creche Parking,5.016806723
2,Creche Parking,4.966101695
3,Creche Parking,4.966101695
4,Creche Parking,4.966101695
5,Creche Parking,6.050847458
6,Creche Parking,21.864406780
7,Creche Parking,47.211864407
8,Creche Parking,75.008474576
9,Creche Parking,79.855932203
10,Creche Parking,83.610169492
11,Creche Parking,84.237288136
12,Creche Parking,84.449152542
13,Creche Parking,84.118644068
14,Creche Parking,81.449152542
15,Creche Parking,79.161016949
16,Creche Parking,74.754237288
17,Creche Parking,59.584745763
18,Creche Parking,43.364406780
19,Creche Parking,23.042372881
20,Creche Parking,10.203389831
21,Creche Parking,6.033898305
22,Creche Parking,5.466101695
23,Creche Parking,4.966101695
